texts, polarity, subjectivity
By Now^ 20-40 Cargo Planes Would Have Been Sent To South Africa To Bring Nigerians Home By Now^ Two Nigeria Naval W…,0,0
all u need to do is retweet &amp;DM your full name address and phone number I will select randomly^ Pls if u won something the la…,-0.075,0.525
When the enemy of your enemy becomes your friend😂😂😂,0,0
This attack and looting of shoprite is so senseless. Are you people who are advocating for this and those doing the dirty…,0,0
Xenophobia: Rappers YCee &amp; AKA Tackle Each Other: Xenophobia in South Africa especially on Nigerians is still being…,-0.0625,0.6875
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
Xenophobia: Buhari refused to act because most Nigerians killed in South Africa are Igbos – Omokri claims,0.15,0.25
Hmmm what happens if i mute the word xenophobia,0,0
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
Stop killing Nigerians We didn’t take your Jobs Stop killing Nigerians We didn’t take your women Stop killing Nigeri…,0,0
This kid almost brought me to tears. He talked about his friend that passed away due to the Xenophobia attacks in South A…,-0.125,0.375
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
"all the weird ""western civ"" americans extoll the virtues of a european identity and hail poland as an ur-example of doing x…",-0.166666667,0.333333333
This South Africans are mostly mad people^ imagine what a deputy Minister of Police is saying^ should this be actually comin…,-0.3125,0.55
Xenophobia is just an excuse for these people because they're too lazy to work so they basically stealing fr…,-0.15,0.525
Dear South Africans^ This message is for you. Listen^ grasp and drop the self-hate. Retweet widely so it gets to every South…,-0.1,0.4
This is a friend's brother in-laws shop being burnt down yesterday. Can you hear the pain in his voice?,-0.155555556,0.288888889
Xenophobia: Nigeria has fallen - Broda Shaggi recounts how policemen allegedly planted tramadol in his car during forceful…,-0.1,0.1
we have this xenophobia chat at least twice a year^ almost like it’s scheduled. this can’t be your brand^ South Africa…,-0.3,0.4
I'm ashamed at the no of Nigerian Celebrities laughing &amp; playing with South Africans when Nigerian…,0,0
The bottom line of this whole issue is that both governments failed in their duties. This is what both…,-0.15,0.35
An alleged drug dealer^ who is an undocumented Nigerian shot and killed a taxi driver. Nobody wants to talk about tha…,-0.033333333,0.066666667
Xenophobia in this country disgusts me. I have never been more ashamed to be a citizen of this country.,0.5,0.5
Ayiseyo competition yhe atrocities mtakabawo. Ndithi GBV ngapha; xenophobia on the other hand. Same SA which was built…,-0.0625,0.25
I told someone that it is better the street don’t get involve in this issue of because if they do which the…,0.5,0.5
This lady just gave Toke Makinwa gbas gbos as regards 😂 😂 😁 😁 😁 😀 😀,0,0
In Kenya^ there is an estate that we nicknamed 'Small Lagos'. It's full of Nigerians. A few sell drugs^ sell…,-0.033333333,0.35
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
A lot of business owners in malls are going to be in serious debt now but xenophobia still continues…,-0.333333333,0.666666667
Man’s talking about stopping you’re worried about his Grammy.,0,0
Everything. I have now seen everything. 😭😂,0,0
Maybe if we use the word corruption instead of xenophobia^ then the government will respond faster,0,0
Looting in progress in Shoprite^ Sangotedo. Rioters and touts seen running away with Flat screen TVs and electron…,-0.025,0.125
Really sad^ but i strongly agree with her. Close down and Say something mr President.,-0.074074074,0.674074074
Nigerians are commissioned to raise every issue of Africa? Or have we been silencing everyone else concerning other matters?…,-0.125,0.375
SA women joining their men to oppress foreigners are the biggest clowns. They bond over xenophobia and attack foreigners as a…,0,0
My one man peaceful protest at their Surulere store this morning^ against,0.25,0.5
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
Burna boy took a stand against xenophobia. He spoke like a man and called out those that were using the…,0,0
Say NO to violence. Say NO to looting. Say NO to Xenophobia. Say NO to criminality. Say - Let’s stand united and…,0,0
Many of you have the mindset of xenophobia^ the Nigerian environment is just not very convenient for you to unleash your…,0.2,0.4
Peruzzi to AKA - Come to Nigeria Burna boy to AKA - Next time I see you^ you’d need security Nigerians to AKA - Come to…,0,0
Do we start calling for sanctions^on South Africa because of xenophobia just like the days of apartheid and,0,0
We can not be foreigners in our own land ~ Chairman^ Somali Community in South Africa tells fellow Africans,0.6,1
Xenophobia: I Will Never Go To South Africa Again – Burna Boy,0,0
Some said this earlier. 2 things are happening at the moment. 1. Nigerians angry about the xenophobia in south afr…,-0.25,0.75
Nigeria Government will never us. By this time next week^ this xenophobia thing will die down if measures aren't ta…,-0.077777778,0.144444444
XENOPHOBIA BY DAVID JONES DAVID THIS HAS TO STOP. UNITY IS WHAT WE NEED. I FEEL SO SAD.,-0.5,1
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
1.Xenophobia is the fear or hatred of that which is perceived to be foreign or strange.,-0.0875,0.1375
I’m just waiting for those fake pastors to start with^” I saw this xenophobia revelation “ yessss and you did what…,-0.5,1
Angry Nigerians successfully shutdown at Sangotedo.,0.125,0.975
Perhaps^ yall need to watch n share this,0,0
This AKA individual is so tone deaf. He totally missed an opportunity to simply clarify his earlier thoughts on the fo…,0,0.501785714
Twitter is very sensitive right now ^ you might tweet something^ having a good intention but it might come off as being…,0.371904762,0.711904762
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
The danger of misinformation: It has the ability to create wars. No Nigerian foreign national was killed this week in…,-0.1625,0.0625
Someone said Shatta Wale doesn't understand the word 'Xenophobia' like he tweet already. 😂,0,0
It is okay to be short of words^ speechless^ confused and frustrated about this matter. Be you a celebrity or re…,-0.15,0.425
My one man peaceful protest at their Surulere store this morning^ against,0.25,0.5
I just had to bring this video back on the TL,0,0
The looting of Shoprite outlets and breaking of windscreens and harassment of commuters by street urchins have nothing…,0,0
Soon there will be xenophobia on twitter^ we iPhone users will start beating de Android users 😂 😂 😂,0,0
I'm almost certain that most of the people who vandalized^ looted and wreaked havoc today on Lagos streets^ can't spell xen…,0.357142857,0.535714286
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
Ghanaians are being asked if they're Nigerian by police officers^ Ghanaians have had their homes invaded by police without w…,0,0
They were not part of the mob that killed^ beat and loot the Nigerians in South Africa but they sure as hell have a hand in t…,0.15,0.444444444
Happening now Students marching against xenophobia and gender-based violence on the UP Hatfield Campus,0,0
A conversation b/w a South African Police Officer and a concerned Nigerian. Please take your time to read Issay Thread 📌…,0,0
I don’t rate South African men at this point ... and I’m not trying to create any form of animosity between us and them (that…,0,0
In our stance against we extend a hand of love to helping Nigerians in South Africa willing to return home^ a…,0.375,0.675
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
Live at Kano ShopRite!!!! Let's do this😊😊💃,0.332919034,0.5
We can not be foreigners in our own land ~ Chairman^ Somali Community in South Africa tells fellow Africans,0.6,1
💔💔Say No to Xenophobia 💔💔,0,0
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
